function_name,attack_type,language,label
print_array_addr_4,Rust Lifetime Bypass Attack,C,2
user_given_array_4,Rust Bounds Check Bypass Attack,C,1
array_min,Not an Attack,C,0
user_set_array_12,Hardening Bypass via Stack Overflow,C,3
print_array_addr_15,Rust Lifetime Bypass Attack,C,2
print_array_addr_10,Rust Lifetime Bypass Attack,C,2
get_cb_from_c_18,Intended Interaction Corruption,C,5
compute_fibonacci,Not an Attack,C,0
user_set_array_9,Hardening Bypass via Stack Overflow,C,3
get_cb_from_c_5,Intended Interaction Corruption,C,5
print_array_addr_2,Rust Lifetime Bypass Attack,C,2
subtract_numbers,Not an Attack,C,0
user_given_array_11,Rust Bounds Check Bypass Attack,C,1
user_given_array_8,Rust Bounds Check Bypass Attack,C,1
get_cb_from_c_20,Intended Interaction Corruption,C,5
print_array_addr_9,Rust Lifetime Bypass Attack,C,2
user_given_array_12,Rust Bounds Check Bypass Attack,C,1
count_occurrences,Not an Attack,C,0
user_set_array_8,Hardening Bypass via Stack Overflow,C,3
find_max,Not an Attack,C,0
print_array_addr_5,Rust Lifetime Bypass Attack,C,2
user_given_vec_2,Dynamic Bounds Corruption (Vec Metadata),C,4
user_given_array_6,Rust Bounds Check Bypass Attack,C,1
user_given_array_17,Rust Bounds Check Bypass Attack,C,1
print_array_addr_17,Rust Lifetime Bypass Attack,C,2
get_cb_from_c_16,Intended Interaction Corruption,C,5
user_given_array_16,Rust Bounds Check Bypass Attack,C,1
multiply_numbers,Not an Attack,C,0
user_set_array_18,Hardening Bypass via Stack Overflow,C,3
user_set_array_3,Hardening Bypass via Stack Overflow,C,3
user_set_array_6,Hardening Bypass via Stack Overflow,C,3
user_set_array_5,Hardening Bypass via Stack Overflow,C,3
get_cb_from_c_10,Intended Interaction Corruption,C,5
get_cb_from_c_14,Intended Interaction Corruption,C,5
user_set_array_13,Hardening Bypass via Stack Overflow,C,3
check_even,Not an Attack,C,0
add_numbers,Not an Attack,C,0
user_given_array_18,Rust Bounds Check Bypass Attack,C,1
print_array_addr_14,Rust Lifetime Bypass Attack,C,2
user_given_array_20,Rust Bounds Check Bypass Attack,C,1
print_array_addr_16,Rust Lifetime Bypass Attack,C,2
user_given_array_14,Rust Bounds Check Bypass Attack,C,1
user_given_array_7,Rust Bounds Check Bypass Attack,C,1
user_given_array_9,Rust Bounds Check Bypass Attack,C,1
user_given_array_5,Rust Bounds Check Bypass Attack,C,1
divide_numbers,Not an Attack,C,0
